ASV,community,degree,intramodule_degree,z_score,P_score,role
d693c275c376753e40770f95ba69a9f9,0,2,2,0.0,0.0,Ultra-peripheral non-hub
d863bc6a2fa6a8a93787e45a6abe3304,7,1,1,0.0,0.0,Ultra-peripheral non-hub
ce8d585abe69c46ac0fba61726d046c5,7,1,1,0.0,0.0,Ultra-peripheral non-hub
01bc6f144e0f577c7a5364ebafdb3509,8,1,1,0.0,0.0,Ultra-peripheral non-hub
94c501c5d59dddbd80effa77dbceebe0,3,15,15,-0.11160694283971401,0.0,Ultra-peripheral non-hub
7f1023e871bcd3a4f7ac96f3a40c9a8d,1,6,6,-0.12347317093715597,0.0,Ultra-peripheral non-hub
f42aeaf1c13130f1fdfc8bafa43ded29,6,8,8,-0.27473646473635155,0.0,Ultra-peripheral non-hub
e6485d233ed2b8b9a2f3f50f0747b9d2,3,13,13,-0.3109050550534888,0.0,Ultra-peripheral non-hub
6148c6e49d72c0f24a187a979ba7a5aa,2,3,3,-0.31234752377721203,0.0,Ultra-peripheral non-hub
75dd0ee2682cb0bf3146f334b0c41c93,2,3,3,-0.31234752377721203,0.0,Ultra-peripheral non-hub
0c488eee4c6d02abb4e34df3ec16a09b,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
1d33e98c9d94c262ab0d8b56d0936eb4,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
94ef08db649a5339b6de95109a8bad0f,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
2c452b25c7f3c62be462d8f47ed179e3,1,5,5,-0.3361214097733689,0.0,Ultra-peripheral non-hub
c55a8101fb6c187736f0af61f720cb92,3,12,12,-0.4105541111603762,0.0,Ultra-peripheral non-hub
deb262fd92af4fdcd3b6240303048b2a,6,7,7,-0.42267148420977163,0.0,Ultra-peripheral non-hub
a53b7a494838590a5600a018277e55ea,6,7,7,-0.42267148420977163,0.0,Ultra-peripheral non-hub
63f37ee4b481fccdffca10160ed5b944,1,4,4,-0.5487696486095819,0.0,Ultra-peripheral non-hub
65c689dc4b8772012494d43535fd1102,6,6,6,-0.5706065036831917,0.0,Ultra-peripheral non-hub
19463e5fe824700110e4a4ec8afe0512,3,10,10,-0.609852223374151,0.0,Ultra-peripheral non-hub
72d63057d6e53e6e72b1af409c9ed0fb,2,2,2,-0.7027819284987272,0.0,Ultra-peripheral non-hub
b4eac52cfa36ce63f24be2fc530ad204,2,2,2,-0.7027819284987272,0.0,Ultra-peripheral non-hub
